Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header
What type of silicone implant would be best after mastectomy,"May 13, 2015","Las Vegas, NV","I had double masectomy, wanted gummy bears but my surgeon says my muscles are too tight even 21/2 months post op. Explained that they may not stay in place due to the muscle tightness, I have taken evry muscle relaxer but really all my muscles are tight, genetics I think",What type of silicone implant would be best after mastectomy
How long does it take until the muscles loosen up after having tissue expanders?,"April 25, 2015","Dayton, OH","My surgeon placed 140 cc's in each tissue expander. Itbis extremely tight. How long does it take until the muscles start to loosen up? The surgery was 10 days ago. Thanks, Cindy",How long does it take until the muscles loosen up after having tissue expanders?
What is an 'Oncoplastic' Procedure?,"July 12, 2010",,What does this mean in terms of breast reconstruction?,What is an 'Oncoplastic' Procedure?
I am a 63 yr woman. 5 yrs ago I had a bilateral with reconstruction. I have silicone implants. I recently had an ultrasound.,"May 3, 2015","Medford, OR",Ultrasound showed abnormalities of the right implant. I have been experiencing pain and feeling little bumps on the right-side. It also seems to be flatter than before. I also have been feeling ill and getting worse everyday. I am concerned that I may have a leaking implant. Please can you help me?,I am a 63 yr woman. 5 yrs ago I had a bilateral with reconstruction. I have silicone implants. I recently had an ultrasound.
Broken Rib from Tissue Expanders. Is this common?,"April 30, 2015","Raleigh, NC",Is getting a broken rib under your tissue expander after the last fill common? Is it going to break again when I go for the exchange? It is very painful and now I can't do any upper stretching exercises for the expanders!,Broken Rib from Tissue Expanders. Is this common?
I had a skin-sparing mastectomy and the surgeon cut an about double the size of my areola. Can the nipple patch size be reduced?,"May 3, 2015","Chicago, IL","I had a single mast/DIEP reconstruction. My plastic surgeon did an excellent job on the reconstruction (the mastectomy surgeon cut the hole). My nipple patch is the same size vertically as my natural breast's areola, but about double the width. I had hoped the nipple tattoo would cover the scars. My PS said not to worry, it'll all look fine in the end, but I am worried. I won't see my PS for a couple of months. Is there any way to reduce the size of the nipple patch in phase 2 of reconstruction?",I had a skin-sparing mastectomy and the surgeon cut an about double the size of my areola. Can the nipple patch size be reduced?
One expander is higher than the other! Can this be rectified when the permanent implants are in?,"May 8, 2015","Florida, FL","I revently had a preventive nipple sparing bilateral mastectomy. Recovery has been quite easy for me. I am healing really well and the pain and soreness have been quite manageable. One of the expanders is higher and bigger than the other. It is quite obvious My question is ; can this be rectified when the permanent implants are in or am I stuck with two different looking breasts. Thank you. Concerned, Fl.",One expander is higher than the other! Can this be rectified when the permanent implants are in?
I had a bilateral mastectomy in Dec 2014 for LCIS. Is there harm in waiting for implants?,"May 7, 2015","Dexter, MN","I am finally done with fills and am hoping to wait until sept. For my implant, final surgery Is there harm in waiting. Pros /cons .... It will have been 9 months in Sept. That these things have been in my body. Does waiting change the results of surgery or final product",I had a bilateral mastectomy in Dec 2014 for LCIS. Is there harm in waiting for implants?
Reverse Tummy Tuck for breast reconstruction? (Photo),"May 9, 2015","Montana, MT","Because I had mini-abdominoplasty about 6 years ago, pre-breast cancer diagnosis, I'm not a candidate for the TRAM flap. I am about 3 months out from expanders to Mentor Memoryshape implants. I know it's still early but these pecs are hanging on for dear life, especially on radiated side. I am not interested in a LAT-flap but what about a RAFT. I have plenty of upper ab tissue and would love it GONE! Would it be possible to use this for natural shaped and softer breasts?",Reverse Tummy Tuck for breast reconstruction? (Photo)
Is it possible to have breast reconstruction surgery as well as removal of an ovary done at the same time?,"May 18, 2015","Corona, CA",,Is it possible to have breast reconstruction surgery as well as removal of an ovary done at the same time?
"Can mentor tissue expander, 275ml filled to 120ml, affect chest muscles, causing pain? Can it shift during exercise?","May 17, 2015","Ennis, MT",,"Can mentor tissue expander, 275ml filled to 120ml, affect chest muscles, causing pain? Can it shift during exercise?"
Any doctors in Illinois accepting insurance for a mastetomy/reconstructive surgery?,"May 24, 2015","Chicago, IL","Hi, I'm inquiring about getting a mascetomy with implants. I spoke to my Insuruance company and it's approved. Breast cancer runs heavy in my family my grandmother and two of my great grandmothers passed away. I also have several aunts and uncles with cancer. So I am at high risk. If there's anyone who can answer or help I will highly appreciate it. God Bless.",Any doctors in Illinois accepting insurance for a mastetomy/reconstructive surgery?
Can it be an infection of te? (photos),"May 26, 2015","Baltimore, MD","I had masectomy done with Te on march 31st. Temp 101 frm past 2 days. Took..2 tablets of antibiotic bactrim ysty My breast looks slight pink. I was building fluid after drain tubes r removed. What are the chances that this is an infection ?Can i get fever / infection after 1.5 mnth of mastectomy? My PS removed liquid-said it looks clear, might be seroma...Told me to get admitted and mostly will put me on vancomycin..iam just concered, i want to get my radiation done and move forward...",Can it be an infection of te? (photos)
