Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header,Question Type,Tag
Please Help! What surgical strategies will get rid of these Mastectomy Scars? (photos),28-Jun-14,"Mountain Lakes, NJ","My TEs are fully expanded to 500ml and I will have my switchover surgery to silicone round implants in a couple of months. Is there anything my PS can do during my final surgery to get rid of these awful scars? While he has done an outstanding job, I just can?? handle these scars on my body. I understand they will fade over time, I prefer them removed. I will gladly trade implant size for scar reduction/removal. Left scar = 85mm, right = 95mm. Please give me strategies to discuss with him.",Please Help! What surgical strategies will get rid of these Mastectomy Scars? (photos),After Procedure Only,silicone implant
Had you ever heard of silicone leak at 7 weeks? I was preventive double mastectomy with BRCA1+ and did this to prevent ca.,9-Aug-14,"Tempe, AZ","I don't want to be flat chested. I have had to have 3 surgeries including by PBM on 6/16/14, and wound cleaning of 7/8/14 (with Sonoma (sp)) right breast was fine at that point, then on 7/29/14-we went in for the same surgery but when PS got in, my R implant was ruptured and the left was bubbling like it about to go. Also, on the 7/8/14 surgery the PS said that the left implant complete went to the Mesh. Have you ever heard of this? I don't know if pics will help.",Had you ever heard of silicone leak at 7 weeks? I was preventive double mastectomy with BRCA1+ and did this to prevent ca.,After Procedure Only,silicone implant
Ipsolateral reconstruction; does this have possibility of correcting over time? (photos),9-Feb-15,"Wichita, KS",243g masectomy replaced with 495HP silicone plant on left. Right breast lift with implant removed 120g tissue and added 270MP. Flat spots on left and size discrepancy. Does this have possibility of correcting over time? Can flat spots be corrected without major surgery? What will that do to symmetry? Looking for info before next appointment. Thanks for your help.,Ipsolateral reconstruction; does this have possibility of correcting over time? (photos),After Procedure Only,silicone implant
Is this necrosis? (photos),30-Mar-15,"Ireland, IN","I had prophylactic bilateral mastectomy with immediate one step reconstruction ( strattice and silicon implants) 19 days ago. My right breast developed a hematoma the day after surgery and I had to go back to the operating theatre to be opened up again and have this fixed. I also developed a seroma on the same recon breast. My question is do I now have necrosis? I saw the surgeon 4 days ago and he said blisters had developed on wound, but now it looks sore of dark brown black. Is it necrosis",Is this necrosis? (photos),After Procedure Only,silicone implant
3 months after mastectomy (photo),"April 8, 2015","Norway, SC","This is 3 months after mastectomy due to dcis and reconstruction with 355 cl silicon implant under pectoralis m in the same procedure. I am of course totally dissatisfied with the result and the asymmetry makes it impossible using a bra. What would you suggest is the best way to handle this disastrous situation, step by step ?",3 months after mastectomy (photo),After Procedure Only,silicone implant
"Tripped over dog and fell hard onto the corner of a wood table, about 1 into my silicone breast implant -can it have ruptured?","April 14, 2015","Richmond, VA","Had bi lateral mastectomy 1 1/2 years ago, recon was 1/14/14 had radiation after. This is radiated side. For the most part I am numb, however where this happened, it hurts terribly. I am so afraid that with the force of my landing on the corner that it could have reptured the implant. First of all, is this possible? Secondly how do you know if it is? thank you for your response(s)","Tripped over dog and fell hard onto the corner of a wood table, about 1 into my silicone breast implant -can it have ruptured?",After Procedure Only,silicone implant
Is my implant leaking or do I just need fillers? (photos),"April 22, 2015","Richmond Hill, GA","I had immediate reconstruction after a mastectomy 6 years ago. They used a silicone implant. It looks a cup size different than my other breast now, and I can see and feel the ripples in the implant. It has always looked ""weird"". It also has always lay flatter but now when I lie down you can't even tell that there's an implant there. I'd like to get a new implant and a new symmetry surgery on the right but my plastic surgeon says my insurance won't pay for this. So what can I do?",Is my implant leaking or do I just need fillers? (photos),After Procedure Only,silicone implant
"Masectomy in May 2014. Natrelle silicone implant 375cc. Left side lifted and surgeon placed a smaller implant, 180cc (Photo)","April 23, 2015","Los Altos, CA","I am 5'9 /135 pounds. Maybe I should have chosen a C cup instead of a B+ which is what the surgeon said I would end up with. At any rate, because I had radiation with the expander in for 6 months to heal, I was told that the amount of saline put in prior to radiation determined my size forever because radiation tightens the skin. They aren't very swollen I feel and I am one week out of surgery. I was told it will take a while to see the final result. Please give me an honest opinion.","Masectomy in May 2014. Natrelle silicone implant 375cc. Left side lifted and surgeon placed a smaller implant, 180cc (Photo)",After Procedure Only,silicone implant
Is the FDA is in the process of approving larger silicone implants up to 1400cc? Can I get an 800cc & exchange 4 larger? (photo),"April 9, 2015","Cincinnati, OH",I had a right skin sparing matectomy with a tissue expander placed & filled to 750cc.I wore a 34g/36h bra size. The only option I am being given is to place an 800cc implant & have a reduction on the unaffected breast. I am unhappy with the size. I never wanted smaller breasts & would prefer to avoid surgery on the unaffected breast. I have heard that the fda is in the process of approving larger silicone implants. Can I get an 800cc implant now and later have it exchanged for a 1400cc implant?,Is the FDA is in the process of approving larger silicone implants up to 1400cc? Can I get an 800cc & exchange 4 larger? (photo),After Procedure Only,silicone implant
I am a 63 yr woman. 5 yrs ago I had a bilateral with reconstruction. I have silicone implants. I recently had an ultrasound.,3-May-15,"Medford, OR",Ultrasound showed abnormalities of the right implant. I have been experiencing pain and feeling little bumps on the right-side. It also seems to be flatter than before. I also have been feeling ill and getting worse everyday. I am concerned that I may have a leaking implant. Please can you help me?,I am a 63 yr woman. 5 yrs ago I had a bilateral with reconstruction. I have silicone implants. I recently had an ultrasound.,After Procedure Only,silicone implant
How do I know when to replace/exchange my implant after reconstruction?,11-Aug-14,"Liberty, MO",I had reconstruction one right side with the silicone implant placed in early 2003. For past 6 months I have experienced tightness that feels like muscle spasms. The spasms have been increasing in frequency over past six months and are painful. I am 43 and want to make sure if I need a replacement it is done well. Thanks for any help!,How do I know when to replace/exchange my implant after reconstruction?,After Procedure Only,silicone implant
